country,avg_overall_happiness,avg_log_gdp_per_capita,avg_healthy_life_expectancy,avg_annual_avg_pm25
Myanmar,5.987772123583339,,56.87334060668945,33.832499999999996
Nepal,4.9804395064163485,7.618389346382835,59.27901077270508,69.705
Netherlands,5.559112366709472,10.737159729003906,70.81828079223632,11.655719224132632
New Zealand,5.748124553868243,10.417735862731934,71.02793579101562,5.858756264
Nigeria,3.256098052234615,8.524475203620064,43.78441492716471,82.8816
Norway,5.686566987529243,11.072180271148682,70.37102381388347,9.411323466857144
Pakistan,4.057356312452385,8.392334938049316,56.32815898548473,173.60999999999999
Paraguay,5.185719039240182,8.917076631025834,62.75944831154563,7.142999999999998
Peru,4.275558019882093,9.225046331232244,64.27329219471325,27.8032
Philippines,4.304009515352797,8.68374339017001,59.06144853071733,23.058
Poland,4.613571563110009,9.99842586517334,66.57745666503907,10.958571428571428
Portugal,5.932494997748146,10.194787873162163,70.09447733561198,6.030142857142857
Qatar,8.158154107268368,11.771851921081543,67.22289123535157,28.73
Romania,4.677290331693205,9.791525268554688,66.0257438659668,27.657857100833336
Russia,4.170902036841662,10.066547913984818,61.15578113902699,27.125039174999998
Rwanda,4.227528456152488,7.261803203158909,52.47347937689887,38.260999999999996
Saudi Arabia,6.354236350539461,10.733719305558639,63.19404532692649,33.678000000000004
Senegal,4.735714703597442,7.695251161401922,55.40365496548739,28.573485123471563
Serbia,4.876042332625182,9.437522676255968,64.91920640733507,38.14075944398566
Slovakia,5.1077647031088045,10.144333004951477,67.09353256225586,19.01245757142857
Slovenia,4.9991755071231,10.250239690144857,69.90740203857422,18.39157142857143
South Africa,3.4431389165874062,9.408756342801182,47.55161562832919,14.568700000000002
South Korea,4.83580928473134,10.34015161340887,72.9758599021218,15.28325
Spain,4.749964453218404,10.402937802401455,73.04342582009055,7.836285714285715
Sri Lanka,5.3119726429036485,9.091129779815674,64.52481994628906,26.296
Sudan,4.43156668116089,8.164534187316894,52.56106796264648,8.7
Sweden,4.885843772489417,10.67963929609819,71.57538119229403,6.6244931014285715
Switzerland,5.446105391273197,10.902918974558512,72.55023193359375,10.762399714285715
Taiwan,5.503146939067362,10.461756706237793,69.98333316379123,22.040126262626263
Tajikistan,5.280552877116282,7.710447614843195,60.57465882734819,88.328
Thailand,4.890293832143436,9.534526564858176,64.93978361649947,28.61
Trinidad and Tobago,5.269397716154344,10.318881273269653,60.74355411529541,7.797482993
Turkey,4.24239858456314,9.759310722351074,64.38576264814897,9.532265
Turkmenistan,6.3132251088788225,9.479724202837263,58.163661411830354,15.496666666666668
Uganda,4.028408558679955,7.364102927121249,48.50914001464844,55.54200000000001
Ukraine,4.305384368833592,8.993159207430752,62.15788650512695,28.72461573673619
United Arab Emirates,7.859779928150137,11.074729495578342,67.85881890190973,24.282857142857143
United Kingdom,5.447083036541425,10.528830528259277,70.50070190429688,9.808571428571428
Uruguay,4.850391088028311,9.756353725086559,67.5958383733576,27.458234947000328
Uzbekistan,5.214872463813544,8.419954204559327,60.14677467346191,40.528333333333336
Vietnam,5.039704637123576,8.453303857283158,65.25467681884766,98.53333333333335
